"Programa de Governo"|"Ação"|"Órgão Responsável"|"Quanto foi previsto"|"Quanto já foi realizado <br>(Empenhado ou Pago)"
"Saude Publica de Qualidade e Eficaz"|"em 229 Loa 2023 - Custeio a Ades - Agencia de Dese Nvolvimento Economico Social"|"Secr.da Saude"|30000.00|30000.00
"Saude Publica de Qualidade e Eficaz"|"em 229 Loa 2025 - Destinacao a Associacao de Amigo S dos Deficientes - Amde"|"Secr.da Saude"|70000.00|70000.00
"Saude Publica de Qualidade e Eficaz"|"em 23 Loa 2023 - Custeio das Acoes do Hospital San Ta Lucinda"|"Secr.da Saude"|500000.00|500000.00
"Saude Publica de Qualidade e Eficaz"|"em 230 Loa 2023 - Custeio ao Ibrapper"|"Secr.da Saude"|30000.00|30000.00
"Saude Publica de Qualidade e Eficaz"|"em 230 Loa 2025 - Custeio a Associacao Amigos dos Autistas de Sorocaba - Amas"|"Secr.da Saude"|105000.00|105000.00
"Saude Publica de Qualidade e Eficaz"|"em 231 Loa 2023 - Custeio a Amde - Associacao Amig os dos Deficientes de Sorocaba."|"Secr.da Saude"|30000.00|30000.00
"Saude Publica de Qualidade e Eficaz"|"em 231 Loa 2025 - Destinacao a Afissore - Associac ao dos Fissurados Labio Palatais de Sorocaba e Reg"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 235 Loa 2025 - Aquisicao de Mobiliarios . Consu Ltorios Odontologicos"|"Secr.da Saude"|200000.00|30139.03
"Saude Publica de Qualidade e Eficaz"|"em 236 Loa 2025 - Modernizacao dos Materiais e Equ Ipamentos da Ubs do Bairro Mineirao"|"Secr.da Saude"|30000.00|25904.00
"Saude Publica de Qualidade e Eficaz"|"em 242 Loa 2025 - Verba para Ades para Manutencao e Custeio do Projeto "saude Ativa""|"Secr.da Saude"|300000.00|300000.00
"Saude Publica de Qualidade e Eficaz"|"em 245 Loa 2025 - Verba para Custeio de Projetos D a Ades - Agencia de Desenv. Economico e Social"|"Secr.da Saude"|400000.00|400000.00
